"Name","Latitude","Longitude","Category","Group","Time","Notes"
"THU 4 — Várkert Bazár terraced gardens","47.49336","19.04280","Sight","Thu Aug 20","18:00","1.9 km / 23 min cumulative from the hotel. Free to walk, holiday programming. Friday 14:15 comes back down through here."
"THU 5 — DINNER Magyar Ízek Utcája / Street of Hungarian Flavours — CORRECTED LOCATION","47.49380","19.04220","Take-out","Thu Aug 20","18:15","TAKE-OUT, eat standing up. THE REAL 2026 SITE IS HERE ON THE BUDA SIDE: Várkert Bazár + Várkert rakpart + Clark Ádám tér + Lánchíd u. + Ybl Miklós tér + Döbrentei u. + Apród u. OPEN 09:00-24:00, Aug 20-22. It is NOT by Parliament / St Stephen Square — that old pin was 2.9 km the wrong way. Country Bread 2026 = Pilisi Pityókás (Hel Pékség). Beer capped under 1,000 HUF, water max 500 HUF."
"THU 6 — Clark Ádám tér (under the Chain Bridge)","47.49828","19.03957","Sight","Thu Aug 20","19:00","Keep going north on the same car-free quay. 660 m / 8 min from the food street."
"THU 7 — FIREWORKS SPOT Bem rakpart (BEST)","47.50925","19.04013","Event","Thu Aug 20","19:15","PREFERRED. The car-free quay itself, square on the Parliament façade. 1.7 km / 22 min from the food street, all on the Buda bank, no river crossing. Show 21:00, ~30 min total, fireworks cut to 10 min this year, light painting 22:30-01:00. Agree a physical meeting point — networks fail."
"THU 7b — FIREWORKS ALT Batthyány tér (M2)","47.50651","19.03878","Event","Thu Aug 20","19:15","Same view and it has a metro station. 370 m south of Bem rakpart. Use if you want the M2 at your feet afterwards."
"THU 8 — WALK HOME over Elisabeth Bridge (alternative to the metro)","47.48990","19.05450","Sight","Thu Aug 20","23:00","Batthyány tér to the hotel on foot = 3.1 km / 40 min back down the car-free quay. Beats a crushed M2-M3-M4 with two changes (~20 min). Metros run to ~02:30."
"Kossuth tér open-air disco (free)","47.50650","19.04630","Event","Thu Aug 20","22:00","DJ sets to 01:30. Light art on Parliament until 01:00."
"PARLIAMENT — Kossuth tér queue","47.50722","19.04566","Sight","Fri Aug 21","09:15","FREE open day 10:00-16:00. Nothing to book. Dome Hall + Holy Crown. Airport-style security, no big bags."
"MOVED FROM THU — Szabadság tér","47.50403","19.05063","Sight","Fri Aug 21","11:30","WAS Thursday 17:30, which was wrong: 2.3 km / 29 min from the hotel in the opposite direction to the fireworks. Now 640 m / 8 min from the Parliament queue you are already standing in. Optional 15 min. Then 700 m / 9 min to the Shoes."
"MOVED FROM THU — St Stephen Basilica (+ dome terrace)","47.50086","19.05392","Sight","Fri Aug 21","15:45","WAS Thursday 17:00, which was wrong: 1.8 km / 23 min from the hotel, opposite direction to the food street and the fireworks. Now heat-block option C, and the dome terrace is the best central viewpoint in Pest. NOTE: the Holy Right Procession leaves here at 19:00 on Thu (not 18:00) — incompatible with a 19:15 riverside fireworks spot."
"Shoes on the Danube Bank","47.50411","19.04555","Sight","Fri Aug 21","11:45","Small, quiet, the most affecting thing in the city."
"Széchenyi István tér","47.49939","19.04693","Sight","Fri Aug 21","12:00","Gresham Palace and the Academy."
"Chain Bridge on foot","47.49869","19.04347","Sight","Fri Aug 21","12:15","Pedestrianised during the festivities — rare."
"Funicular — Clark Ádám tér","47.49828","19.03957","Ride","Fri Aug 21","12:30","The ride is part of the fun. Or bus 16 free on a pass."
"Fisherman's Bastion","47.50242","19.03497","Viewpoint","Fri Aug 21","12:45","The postcard view. Lower terraces free."
"Matthias Church + Trinity Square","47.50201","19.03443","Sight","Fri Aug 21","13:00","Tiled roof is the thing. Square free."
"Buda Castle terraces","47.49604","19.03972","Sight","Fri Aug 21","13:30","Free to walk. Holiday programming today."
"Vienna Gate (Bécsi kapu tér)","47.50577","19.03303","Sight","Fri Aug 21","","Quiet north end of Castle Hill."
"Várkert Bazár gardens","47.49336","19.04280","Sight","Fri Aug 21","14:15","Terraced gardens down to Elisabeth Bridge."
"LUNCH — Great Market Hall (own front door)","47.48733","19.05835","Dinner","Fri Aug 21","14:45","Gallery stalls for goulash and stuffed cabbage; downstairs for paprika and salami to take home."
"Lunch backup — Karaván street food","47.49688","19.06184","Take-out","Fri Aug 21","","TAKE-OUT. Next to Szimpla on Kazinczy. Open late."
"HEAT BLOCK A — Dohány Street Synagogue","47.49561","19.06088","Sight","Fri Aug 21","15:45","Largest in Europe, with museum and memorial garden."
"HEAT BLOCK B — House of Terror","47.50694","19.06529","Museum","Fri Aug 21","15:45","Andrássy út 60. Heavy and excellent."
"Hungarian State Opera","47.50281","19.05782","Sight","Fri Aug 21","17:00","Start of the Andrássy út walk."
"Oktogon → M1 Millennium line","47.50525","19.06376","Ride","Fri Aug 21","17:15","Oldest metro on the continent after London. UNESCO. The train is the attraction."
"Heroes' Square","47.51475","19.07789","Sight","Fri Aug 21","17:45","Millennium Monument."
"Vajdahunyad Castle + City Park","47.51442","19.08206","Park","Fri Aug 21","18:00","Fake castle on a lake. Shaded, free."
"SUNSET — Gellért Hill Citadella","47.48685","19.03970","Viewpoint","Fri Aug 21","19:15","Full panorama, sunset ~19:50. Hot climb, take water."
"LUNCH — Naschmarkt + flea market","48.19860","16.36330","Market","Sat Aug 22","12:00","Stalls to graze plus sit-down places. Saturday is flea market day. Dead on Sundays."
"Karlsplatz","48.20049","16.36988","Sight","Sat Aug 22","14:00","Karlskirche and the Secession."
"Staatsoper","48.20294","16.36907","Sight","Sat Aug 22","14:20","Then up Kärntner Straße."
"Stephansdom","48.20849","16.37319","Sight","Sat Aug 22","14:45","Nave free; towers ticketed."
"Hofburg","48.20650","16.36565","Sight","Sat Aug 22","15:15","Imperial palace complex."
"Albertina (optional)","48.20452","16.36831","Museum","Sat Aug 22","16:00","Monet to Picasso plus the state rooms."
"Vienna Classic Days — vintage cars on the Ring","48.20620","16.36180","Event","Sat Aug 22","18:00","Free parade, starts 18:00 where you already are."
"Rathausplatz Film Festival","48.21073","16.35730","Event","Sat Aug 22","19:30","FREE. Stalls 11:00-midnight. 20:30 Imagine Dragons on a 300 m² screen. Runs in rain."
"Schönbrunn Palace","48.18453","16.31222","Sight","Sun Aug 23","07:45","2 U4 stops from the flat. Thin crowds before 10:00. Interior needs a booked slot."
"Gloriette","48.18063","16.30594","Viewpoint","Sun Aug 23","08:45","Free walk up. Best view back over Vienna."
"FREE Jazz Brunch — Rathausplatz","48.21073","16.35730","Event","Sun Aug 23","12:00","12:00-14:00. All shops in Austria shut on Sunday, so this is lunch too."
"RAIN BLOCK A — Kunsthistorisches Museum","48.20384","16.36169","Museum","Sun Aug 23","14:00","Open Sundays, closed Mondays. Allow 2-3 h."
"RAIN BLOCK B — Belvedere","48.19146","16.38095","Museum","Sun Aug 23","14:00","Klimt's The Kiss. Upper Belvedere."
"Café Central","48.21027","16.36567","Breakfast","Sun Aug 23","17:00","The grand one. Short queue likely."
"Café Sperl","48.19882","16.35970","Breakfast","Sun Aug 23","17:00","Older, shabbier, more genuine. 1880s fittings."
"Demel","48.20852","16.36685","Breakfast","Sun Aug 23","17:00","Imperial confectioner."
"DINNER A — Heuriger in Grinzing","48.25513","16.33830","Dinner","Sun Aug 23","18:30","Tram 38 from Schottentor. Wine among the vineyards."
"EVENING B — Faust at Rathausplatz (free)","48.21073","16.35730","Event","Sun Aug 23","20:30","Vienna State Opera on the big screen. Free."
"NEUSTIFTER KIRTAG — Aug 20-23 wine festival","48.24170","16.29560","Event","Vienna Events","Sun 18:00","THE PICK. 650 m of road closed, Heuriger tables in the street, UNESCO-listed rituals, 100,000 visitors. FREE to walk in. SUNDAY is the free/last day 12:00-22:00: brass band from 12:00, Die Wuppa 17:00-21:00, no reservations. U6 to Nussdorfer Straße then bus 35A. DON'T DRIVE."
"STUMM & LAUT — Aug 20-22 silent films + live electronica","48.18450","16.38060","Event","Vienna Events","Sat evening","FREE. Helmut-Zilk-Park, Hlawkagasse 2, 1100. SAT AUG 22 IS CLOSING NIGHT. Two S-Bahn stops from Bahnhof Wien Meidling — closest evening to the flat. volxkino.at/stumm-und-laut"
"AFRIKA TAGE — Aug 14-24 Donauinsel","48.24300","16.39600","Event","Vienna Events","","PAID: ~€12.20-12.90 advance, €10 before 16:00 / €20 after 17:00 at the door. Mon-Sat from 14:00, Sun from 11:00, to midnight. Concerts 18:00, headliners 20:00. U6 to Handelskai + 400 m walk."
"Kino am Dach — rooftop cinema until Sept 12","48.19960","16.33800","Event","Vienna Events","","Ticketed rooftop screenings on the main library, Urban-Loritz-Platz 1070. Direct U6 to Burggasse-Stadthalle, in the bar district."
"Frameout — MuseumsQuartier free open-air cinema","48.20330","16.35930","Event","Vienna Events","","Free documentaries and art films in the MQ courtyard until Aug 29. Next to the Kunsthistorisches Museum."
"Ellátó Kert — best all-rounder","47.49760","19.06344","Bar","Bars Budapest","","Klauzál tér 2. Shaded garden, locals, resident prices."
"Füge Udvar","47.49876","19.06152","Bar","Bars Budapest","","Dob u. 19. Szimpla's look at half the price. Opens 16:00."
"Fogasház / Instant-Fogas","47.49951","19.06843","Bar","Bars Budapest","","Akácfa u. 49-51. Underground electronic. All night."
"Élesztőház","47.48160","19.06726","Bar","Bars Budapest","","District IX. 20-30 Hungarian craft taps, cask-ale corner."
"Szimpla Kert","47.49722","19.06213","Bar","Bars Budapest","","Kazinczy u. 14. The original — one drink, before 21:00."
"Csendes","47.49256","19.06045","Bar","Bars Budapest","","Near Astoria. Quiet, surreal, good for talking."
"Kőleves Kert","47.49823","19.06188","Bar","Bars Budapest","","Kazinczy u. 37-41. Big summer garden."
"Anker't","47.50060","19.06011","Bar","Bars Budapest","","Paulay Ede u. 33. Big courtyard garden."
"Jazzcafe Sofa","48.20130","16.35400","Bar","Bars Vienna","","Lindengasse 3. Beer €2.80, spritzer €2.40. Mon-Sat 17:00-02:00."
"7Stern Bräu — DINNER option","48.20182","16.35398","Dinner","Bars Vienna","","Siebensternstraße 19. Brewpub, shaded garden, hearty food. Best group dinner in the bar district."
"Bukowski The Pub","48.20343","16.35723","Bar","Bars Vienna","","Siebensterngasse 8. Daily 16:00-06:00."
"Kreisky","48.20250","16.35300","Bar","Bars Vienna","","7th district dive, till 04:00. Verify exact address in the app."
"Café Anno","48.20450","16.34400","Bar","Bars Vienna","","Lerchenfelder Straße. Cheap draught, foosball. Verify address in the app."
"Weinstube Josefstadt","48.21105","16.35156","Dinner","Bars Vienna","","Piaristengasse 27. Ivy garden, Grüner Veltliner, cold cuts and strudel."
"Bitzinger Würstelstand — late-night TAKE-OUT","48.20419","16.36866","Take-out","Bars Vienna","","By the Albertina. Käsekrainer + beer at 2 a.m."
"Palatinus Strand — BEST bath in August","47.52872","19.04739","Swim","Optional","","Margaret Island lido: outdoor pools, slides, wave pool, shade. 4,400-7,000 HUF."
"Lukács Bath — value pick","47.51787","19.03688","Swim","Optional","","8,000 HUF. Shaded, cool pools, no queue, locals."
"Széchenyi Bath","47.51879","19.08316","Swim","Optional","","~14,800 HUF weekend rate. Use the outdoor pools and 18 °C plunge."
"Rudas Bath","47.48862","19.04869","Swim","Optional","","15,000 HUF Fri-Sun. Rooftop pool over the Danube."
"Margaret Island — musical fountain","47.52180","19.04630","Park","Optional","","Closest shade and grass to the centre."
"SMALL TRIP — Cogwheel Railway start","47.50698","19.00196","Ride","Optional","","Up into the Buda Hills. Cooler and shaded."
"SMALL TRIP — Children's Railway (Széchenyi-hegy)","47.49893","18.98872","Ride","Optional","","Run by 10-14-year-olds since 1948."
"SMALL TRIP — Elizabeth Lookout Tower","47.51823","18.96035","Viewpoint","Optional","","Highest point in Budapest, 360° view. Chairlift down."
"SMALL TRIP — Memento Park","47.42645","18.99872","Sight","Optional","","Communist statues in one field. Bus from Kelenföld."
"SMALL TRIP — Aquincum Museum","47.57108","19.04919","Museum","Optional","","Roman city under Óbuda. Quiet, unvisited."
"VIENNA TRIP — Kahlenberg viewpoint","48.27293","16.33355","Viewpoint","Optional","","Bus 38A from Heiligenstadt. View over the city and Danube."
"VIENNA TRIP — Klosterneuburg Abbey","48.30525","16.32530","Sight","Optional","","20 min by S-Bahn. Monastery with its own winery."
"VIENNA TRIP — Donauinsel","48.22947","16.40946","Swim","Optional","","U1 Donauinsel. 21 km of free river beaches and bars."
"VIENNA TRIP — Prater / Riesenrad","48.21661","16.39590","Park","Optional","","Old funfair. Ferris wheel is the one paid thing worth it."
"START - Rivne, 05:00 on Thu Aug 20","50.61990","26.25160","Car","Route","Thu 05:00","Tank full at Ukrnafta or BRSM. 770 km to Budapest, ~10 h driving, but you gain an hour crossing into UTC+2 so you arrive 15:00-15:30. The early start also gets you over the Carpathians in daylight."
"Lviv - breakfast + driver change","49.84190","24.03150","Breakfast","Route","Thu 07:45","213 km, bang on halfway, last easy place to eat properly. Rynok Square. Put the freshest driver on the mountains that follow."
"Stryi - the slow part starts here","49.26170","23.85060","Car","Route","Thu 08:40","282 km. 136 km of Carpathian passes to Svalyava: two lanes, loaded trucks, nowhere safe to overtake. Give it 2 hours."
"Svalyava - out of the mountains","48.54860","22.99640","Car","Route","Thu 11:00","418 km. M06 roadworks across Zakarpattia this summer - single-lane light-controlled sections, allow 20-30 min."
"Mukachevo - last cheap fuel","48.44250","22.71750","Car","Route","Thu 11:25","440 km from Rivne. Change drivers, top up, 30 km to the crossing. On the way home this is the bail-out point if anyone is too tired - last easy accommodation before the passes."
"Palanok Castle - OPTIONAL only if ahead","48.42830","22.67970","Sight","Route","09:00-18:00","150 UAH. 14th-century fortress on a volcanic cone, right by the road. Costs 45-60 min and pushes Budapest to 16:15-16:30 - fine for the fireworks but it eats the afternoon."
"CROSS HERE - Luzhanka / Beregsurany","48.18110","22.54420","Car","Route","Thu ~12:00","~30 km SW of Mukachevo. Same 330 km to Budapest as Chop but avoids the section being dug up. Clocks go back an hour here. Pin approximate."
"Vasarosnameny - the M3 starts here","48.12890","22.31750","Car","Route","Thu 12:15","HAVE THE D1 10-DAY E-VIGNETTE (6900 HUF) LIVE BEFORE THIS POINT - ematrica.nemzetiutdij.hu. Then 3 h of motorway to Budapest."
"ALTERNATIVE crossing - Chop / Zahony","48.43330","22.20000","Car","Route","","Bigger crossing, also straight onto the M3, same 330 km - but 40 km of poor road to reach it."
"HOME RUN - Hegyeshalom","47.92500","17.16330","Car","Route","Mon 06:45","Leave Vienna 06:00, here in 45 min. M1 to the M0 southern ring, round Budapest, onto the M3. ~1000 km to Rivne, about 16 h with three drivers rotating."
"FILL UP on the way home - Mosonmagyarovar / Gyor","47.68750","17.63500","Car","Route","Mon 07:30","Hungary averages 1.58 EUR petrol / 1.81 diesel vs Austria 1.72 / 1.97. Leave Vienna on what is in the tank and fill here. Exit into town, not a motorway service area."
